COUNTRY_FLYING_MISSION,TGT_COUNTRY,TGT_LOCATION,LATITUDE,LONGITUDE,MSNDATE,TGT_TYPE,TGT_INDUSTRY
USA,BURMA,ALAM,25.55,97.5,11/2/1943,UNIDENTIFIED TARGET,
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,3/8/1943,AIRFIELD,
USA,NEW GUINEA,WEWAK,-3.583333333,143.6666667,7/28/1944,UNIDENTIFIED TARGET,
USA,JAPAN,TARUMIZU,31.48333333,130.7,8/5/1945,AIRCRAFT FACTORY,
USA,CELEBES ISLANDS,MAPANGET,1.533333333,124.9333333,1/6/1945,AIRDROME,
USA,JAPAN,TOKYO,35.57873951,139.7212022,4/18/1942,,
USA,MARIANAS ISLANDS,PAGAN ISLAND,18.13333333,145.7833333,8/28/1944,AIRFIELD,
USA,TUNISIA,LG WEST OF MEDENINE AND PP,33.35,10.51,1/24/1943,,780
USA,MARSHALL ISLANDS,WOTJE ISLAND,9.5,170,2/6/1944,AIRDROME,
USA,BISMARK ARCHIPELAGO,VUNAKANAU,-4.316666667,152.1833333,2/14/1944,AIRFIELD,
USA,FORMOSA AND RYUKYU ISLANDS,TAINAN,23,120.2,2/7/1945,AIRDROME,
USA,NEW GUINEA,AWAR,-4.166666667,144.8333333,5/18/1944,AA POSITIONS,
GREAT BRITAIN,GREECE,NAPLES HARBOR,40.84,14.28,3/4/1943,,
USA,FORMOSA AND RYUKYU ISLANDS,TAKAO,22.63333333,120.2833333,3/24/1945,UNIDENTIFIED TARGET,
AUSTRALIA,NEW GUINEA,BUNA AREA,-8.660055,148.418701,12/2/1942,ENEMY WARSHIPS,
USA,BURMA,MOGAUNG,25.3,96.93333333,4/17/1943,UNIDENTIFIED TARGET,
USA,PALAU ISLANDS,YAP ISLAND,9.533333333,138.1333333,10/25/1944,UNIDIENTIFIED TARGET,
USA,JAPAN,KURE,34.23333333,132.5666667,7/29/1945,MARBOR,
USA,NEW GUINEA,SALAMAUA,-7.016666667,147.1166667,7/27/1943,UNIDENTIFIED TARGET,
USA,SOLOMON ISLANDS,NUMA NUMA,-5.866666667,155.2333333,4/28/1944,UNIDENTIFIED TARGET,
USA,CHINA,PRATAS ISLAND,20.33333333,115.2833333,3/4/1945,RADIO STATION,
USA,SOLOMON ISLANDS,KARA,-6.7,155.7166667,9/15/1943,AIRFIELD,
USA,PHILIPPINE ISLANDS,APARRI,18.33333333,121.6666667,3/14/1945,ANTI AIR CRAFT POSIT,
USA,PHILIPPINE ISLANDS,MT PACAWAGAN,14.7269,121.1714,4/10/1945,UNIDENTIFIED TARGET,
USA,BURMA,KINU,22.75,95.66666667,11/12/1944,MARSHALLING YARDS,
USA,PHILIPPINE ISLANDS,ORMOC,11,124.5833333,11/12/1944,SHIPPING AND DOCKS,
USA,FORMOSA AND RYUKYU ISLANDS,TAINAN,23,120.2,5/5/1945,GROUND INSTALLATION,
