COUNTRY_FLYING_MISSION,TGT_COUNTRY,TGT_LOCATION,LATITUDE,MSNDATE,TGT_TYPE,TGT_INDUSTRY
USA,CELEBES ISLANDS,LEMBEH ISLAND,1.433333333,125.2333333,10/14/1944,125.2333333,36 FS
USA,JAVA,WAINGAPOE,-9.633333333,120.2833333,12/3/1943,120.2833333,530 BS
USA,NEW GUINEA,HANSA BAY,-4.166666667,144.9166667,9/26/1943,144.9166667,400 BS
USA,CELEBES ISLANDS,CELEBES ISLANDS,-2,120,12/5/1944,120,528 BS
USA,BORNEO,TARAKAN ISLAND,3.416666667,117.5833333,5/2/1945,117.5833333,42 BG
USA,BORNEO,OELIN,-3.45,114.75,7/26/1945,114.75,307 BG
USA,PHILIPPINE ISLANDS,SANTA FE,11.166667,123.783333,5/22/1945,123.783333,672 S
USA,PHILIPPINE ISLANDS,CEBU,10.321389,123.754722,12/20/1944,123.754722,864 BS
USA,JAPAN,OMURA,32.91666667,129.9333333,1/6/1945,129.9333333,468 BG
USA,NEW GUINEA,RANSIKI,-1.583333333,134.1666667,11/2/1944,134.1666667,340 FS
USA,BURMA,NAMMA,24.7333333,95.8833333,4/10/1944,95.8833333,89 FS
USA,NEW GUINEA,SAWABAS,-1,136.1666667,8/6/1944,136.1666667,82 FS
USA,PHILIPPINE ISLANDS,INDIANA,16.33333333,121.0666667,5/27/1945,121.0666667,36 FS
USA,BURMA,RANGOON,16.8,96.15,4/22/1943,96.15,9 BS
USA,NEW GUINEA,HOLLANDIA,-2.5,140.75,4/8/1944,140.75,319 BS
USA,NEW GUINEA,DAGUA,-3.416666667,143.3333333,4/24/1944,143.3333333,320 BS
USA,SOLOMON ISLANDS,KAHILI,-6.8,155.7833333,8/29/1943,155.7833333,394 BS
USA,NEW GUINEA,BUNA,-8.666666667,148.4166667,11/18/1942,148.4166667,408 BS
USA,SOLOMON ISLANDS,NAURU ISLAND,-8.283333333,157.2166667,6/11/1944,157.2166667,396 BS
USA,FRENCH INDO CHINA,GIA LAM,21.03333333,105.8666667,11/28/1944,105.8666667,375 BS
USA,BURMA,PYU,18.48333333,96.43333333,4/6/1945,96.43333333,434 BS
USA,NEW GUINEA,SINGOR,-5.583333333,146.25,1/28/1944,146.25,13 S
USA,FORMOSA AND RYUKYU ISLANDS,TAIHOKU,25.03333333,121.5,5/19/1945,121.5,64 BS
USA,PHILIPPINE ISLANDS,PENABLANCA,17.66666667,121.75,7/8/1945,121.75,433 FS
USA,CHINA,CHANGSHA,28.2,112.9666667,6/13/1944,112.9666667,11 BS
USA,NEW GUINEA,FINSCHHAFEN,-6.5,147.8333333,3/4/1943,147.8333333,320 BS
USA,SOLOMON ISLANDS,KARA,-6.7,155.7166667,2/14/1944,155.7166667,23 BS
USA,PHILIPPINE ISLANDS,LICANAN,7.266666667,125.65,11/15/1944,125.65,2 BS
USA,BURMA,MAINGXWA,21.51666667,96.06666667,5/28/1944,96.06666667,89 FS
USA,BORNEO,BALIK PAPAN,-1.25,116.8333333,6/18/1945,116.8333333,319 BS
USA,SOLOMON ISLANDS,KAHILI,-6.8,155.7833333,6/10/1943,155.7833333,31 BS
USA,CAROLINE ISLANDS,ALET ISLAND,7.366666667,149.1833333,5/30/1944,149.1833333,72 BS
USA,MARIANAS ISLANDS,PAGAN ISLAND,18.13333333,145.7833333,12/7/1944,145.7833333,499 BG
USA,JAPAN,NAGOYA,35.18333333,136.95,4/6/1945,136.95,888
USA,CHINA,SHIHHWEIYAO,30.23333333,115.1166667,12/21/1944,115.1166667,118 FS
